Question,Consensus Answer,GPT4
Opening,3,3
Elicits Spectrum of Concerns,2,3
Negotiates Priorities and Sets Agenda,1,1
Eliciting the Narrative Thread or the 'Patient's Story',5,5
Timeline,4,5
Organization,5,5
Pacing of Interview,4,5
Types of Questions,3,5
Summarizing,2,1
Duplication,4,5
Lack of Jargon,5,5
Verification of Patient Information,3,5
Verbal Facilitation Skills,4,4
Non-Verbal Facilitation Skills,3,N/A
Empathy and Acknowledging Patient Cues,4,3
Impact of Illness on Patient and Patients Self-Image,4,3
Support Systems,5,3
Encouragement of Questions,2,1
Closure,3,1
