Question,Consensus Answer,GPT4,GPT4 w/ examples,Llama70b w/ examples,GPT4 w/o examples,Llama70b w/o examples
Opening,5,5.0,4,5,5.0,5
Elicits Spectrum of Concerns,5,5.0,5,5,5.0,4
Negotiates Priorities and Sets Agenda,5,3.0,4,5,5.0,5
Eliciting the Narrative Thread or the 'Patient's Story',2,5.0,5,3,5.0,3
Timeline,3,5.0,5,4,5.0,5
Organization,3,5.0,5,5,5.0,5
Pacing of Interview,5,5.0,5,5,5.0,5
Types of Questions,4,5.0,5,5,4.0,5
Summarizing,5,5.0,5,5,5.0,5
Duplication,4,5.0,5,5,5.0,5
Lack of Jargon,3,5.0,5,5,5.0,5
Verification of Patient Information,5,5.0,5,5,5.0,5
Verbal Facilitation Skills,5,5.0,5,3,5.0,3
Non-Verbal Facilitation Skills,5,,Unable to score due to lack of non-verbal communication detail in the provided text.,5,,5
Empathy and Acknowledging Patient Cues,4,5.0,5,5,5.0,5
Impact of Illness on Patient and Patients Self-Image,1,3.0,3,3,3.0,1
Support Systems,2,1.0,1,1,1.0,1
Encouragement of Questions,4,4.0,4,5,4.0,5
Closure,5,1.0,1,3,3.0,3
