ï»¿Question,Consensus Answer
OPENING,5
ELICITS SPECTRUM OF CONCERNS,5
NEGOTIATES PRIORITIES & SETS AGENDA,5
ELICITING THE NARRATIVE THREAD or the PATIENT_S STORY,2
TIMELINE,3
ORGANIZATION,3
PACING OF INTERVIEW,5
QUESTIONING SKILLS TYPES OF QUESTIONS,4
QUESTIONING SKILLS SUMMARIZING,5
QUESTIONING SKILLS DUPLICATION,4
QUESTIONING SKILLS LACK OF JARGON,3
QUESTIONING SKILLS VERIFICATION OF PATIENT INFORMATION,5
VERBAL FACILITATION SKILLS,5
NON-VERBAL FACILITATION SKILLS,5
EMPATHY AND ACKNOWLEDGING PATIENT CUES,4
IMPACT OF ILLNESS ON PATIENT AND PATIENT_S SELF-IMAGE,1
SUPPORT SYSTEMS,2
ENCOURAGEMENT OF QUESTIONS,4
CLOSURE,5
