Question,Consensus Answer
OPENING,5
ELICITS SPECTRUM OF CONCERNS,5
NEGOTIATES PRIORITIES & SETS AGENDA,4
ELICITING THE NARRATIVE THREAD or the PATIENT_S STORY,4
TIMELINE,3
ORGANIZATION,5
PACING OF INTERVIEW,5
QUESTIONING SKILLS TYPES OF QUESTIONS,4
QUESTIONING SKILLS SUMMARIZING,2
QUESTIONING SKILLS DUPLICATION,5
QUESTIONING SKILLS LACK OF JARGON,5
QUESTIONING SKILLS VERIFICATION OF PATIENT INFORMATION,
VERBAL FACILITATION SKILLS,5
NON-VERBAL FACILITATION SKILLS,5
EMPATHY AND ACKNOWLEDGING PATIENT CUES,4
IMPACT OF ILLNESS ON PATIENT AND PATIENT_S SELF-IMAGE,
SUPPORT SYSTEMS,5
ENCOURAGEMENT OF QUESTIONS,5
CLOSURE,5
PATIENTS PERSPECTIVE & BELIEFS,2
PATIENTS EDUCATION AND UNDERSTANDING,3
ASSESS MOTIVATION FOR CHANGES,4
