Question,Consensus Answer
OPENING,5
ELICITS SPECTRUM OF CONCERNS,5
NEGOTIATES PRIORITIES & SETS AGENDA,4
ELICITING THE NARRATIVE THREAD or the PATIENT_S STORY,
TIMELINE,
ORGANIZATION,2
PACING OF INTERVIEW,5
QUESTIONING SKILLS TYPES OF QUESTIONS,4
QUESTIONING SKILLS SUMMARIZING,5
QUESTIONING SKILLS DUPLICATION,
QUESTIONING SKILLS LACK OF JARGON,5
QUESTIONING SKILLS VERIFICATION OF PATIENT INFORMATION,4
VERBAL FACILITATION SKILLS,5
NON-VERBAL FACILITATION SKILLS,5
EMPATHY AND ACKNOWLEDGING PATIENT CUES,5
IMPACT OF ILLNESS ON PATIENT AND PATIENT_S SELF-IMAGE,5
SUPPORT SYSTEMS,4
ENCOURAGEMENT OF QUESTIONS,2
CLOSURE,5
PATIENTS PERSPECTIVE & BELIEFS,5
PATIENTS EDUCATION AND UNDERSTANDING,5
ASSESS MOTIVATION FOR CHANGES,4
ACHIEVE A SHARED PLAN,4
