ï»¿Question,Consensus Answer
OPENING,2
ELICITS SPECTRUM OF CONCERNS,5
NEGOTIATES PRIORITIES & SETS AGENDA,5
ELICITING THE NARRATIVE THREAD or the PATIENT_S STORY,4
TIMELINE,4
ORGANIZATION,4
PACING OF INTERVIEW,5
QUESTIONING SKILLS TYPES OF QUESTIONS,5
QUESTIONING SKILLS SUMMARIZING,3
QUESTIONING SKILLS DUPLICATION,5
QUESTIONING SKILLS LACK OF JARGON,2
QUESTIONING SKILLS VERIFICATION OF PATIENT INFORMATION,3
VERBAL FACILITATION SKILLS,4
NON-VERBAL FACILITATION SKILLS,4
EMPATHY AND ACKNOWLEDGING PATIENT CUES,3
IMPACT OF ILLNESS ON PATIENT AND PATIENT_S SELF-IMAGE,4
SUPPORT SYSTEMS,1
ENCOURAGEMENT OF QUESTIONS,5
CLOSURE,5
