Question,Consensus Answer
OPENING,4
ELICITS SPECTRUM OF CONCERNS,3
NEGOTIATES PRIORITIES & SETS AGENDA,3
ELICITING THE NARRATIVE THREAD or the PATIENT_S STORY,4
TIMELINE,4
ORGANIZATION,3
PACING OF INTERVIEW,2
QUESTIONING SKILLS TYPES OF QUESTIONS,4
QUESTIONING SKILLS SUMMARIZING,3
QUESTIONING SKILLS DUPLICATION,
QUESTIONING SKILLS LACK OF JARGON,2
QUESTIONING SKILLS VERIFICATION OF PATIENT INFORMATION,4
VERBAL FACILITATION SKILLS,4
NON-VERBAL FACILITATION SKILLS,4
EMPATHY AND ACKNOWLEDGING PATIENT CUES,3
IMPACT OF ILLNESS ON PATIENT AND PATIENT_S SELF-IMAGE,
SUPPORT SYSTEMS,5
ENCOURAGEMENT OF QUESTIONS,5
CLOSURE,3
PATIENTS PERSPECTIVE & BELIEFS,5
PATIENTS EDUCATION AND UNDERSTANDING,3
ASSESS MOTIVATION FOR CHANGES,
