Question,Consensus Answer,GPT4,GPT4 w/ examples,Llama70b w/ examples,GPT4 w/o examples,Llama70b w/o examples
Opening,5.0,,4,5,5.0,5
Elicits Spectrum of Concerns,5.0,,4,4,4.0,3
Negotiates Priorities and Sets Agenda,4.0,,4,3,5.0,4
Eliciting the Narrative Thread or the 'Patient's Story',,,5,5,5.0,3
Timeline,,,3,3,5.0,5
Organization,2.0,,5,5,5.0,5
Pacing of Interview,5.0,,4,5,5.0,5
Types of Questions,4.0,,5,5,5.0,5
Summarizing,5.0,,5,5,5.0,5
Duplication,,,5,5,5.0,5
Lack of Jargon,5.0,,5,5,5.0,5
Verification of Patient Information,,,5,4,5.0,5
Verbal Facilitation Skills,5.0,,5,5,5.0,5
Non-Verbal Facilitation Skills,5.0,,N/A due to lack of information on non-verbal cues,5,,5
Empathy and Acknowledging Patient Cues,5.0,,3,3,5.0,5
Impact of Illness on Patient and Patients Self-Image,,,3,3,3.0,3
Support Systems,4.0,,2,3,3.0,3
Encouragement of Questions,2.0,,2,2,2.0,2
Closure,5.0,,4,5,5.0,5
ÊPatient's Perspective (Beliefs)Ê,5.0,,4,3,3.0,3
 Patient's Education and Understanding 	,5.0,,4,3,4.0,3
 Assess Motivation for Changes 	,4.0,,5,5,5.0,3
Achieve a Shared Plan,2.0,,5,5,5.0,3
