Question,Consensus Answer,GPT4
Opening,4,
Elicits Spectrum of Concerns,3,
Negotiates Priorities and Sets Agenda,3,
Eliciting the Narrative Thread or the 'Patient's Story',4,
Timeline,4,
Organization,3,
Pacing of Interview,2,
Types of Questions,4,
Summarizing,3,
Duplication,N/A,
Lack of Jargon,2,
Verification of Patient Information,N/A,
Verbal Facilitation Skills,4,
Non-Verbal Facilitation Skills,4,
Empathy and Acknowledging Patient Cues,3,
Impact of Illness on Patient and Patients Self-Image,N/A,
Support Systems,5,
Encouragement of Questions,5,
Closure,3,
ÊPatient's Perspective (Beliefs)Ê,5,N/A
" Patient's Education and Understanding 	",3,N/A
" Assess Motivation for Changes 	",N/A,N/A
