Question,Consensus Answer,GPT4,GPT4 w/ examples,Llama70b w/ examples,GPT4 w/o examples,Llama70b w/o examples
Opening,5,5.0,5.0,4.0,5.0,5
Elicits Spectrum of Concerns,2,3.0,4.0,5.0,4.0,5
Negotiates Priorities and Sets Agenda,2,3.0,3.0,2.0,3.0,2
Eliciting the Narrative Thread or the 'Patient's Story',3,4.0,4.0,3.0,4.0,3
Timeline,4,5.0,5.0,4.0,5.0,5
Organization,5,5.0,5.0,5.0,5.0,5
Pacing of Interview,4,5.0,5.0,5.0,5.0,5
Types of Questions,3,5.0,5.0,5.0,5.0,5
Summarizing,5,5.0,5.0,5.0,5.0,5
Duplication,5,5.0,5.0,5.0,5.0,3
Lack of Jargon,5,5.0,5.0,5.0,5.0,5
Verification of Patient Information,5,5.0,5.0,5.0,5.0,5
Verbal Facilitation Skills,4,5.0,5.0,5.0,4.0,5
Non-Verbal Facilitation Skills,3,,,5.0,,5
Empathy and Acknowledging Patient Cues,4,5.0,3.0,3.0,5.0,5
Impact of Illness on Patient and Patients Self-Image,4,1.0,3.0,3.0,3.0,3
Support Systems,4,3.0,1.0,3.0,3.0,3
Encouragement of Questions,2,2.0,2.0,2.0,2.0,2
Closure,3,3.0,1.0,1.0,1.0,1
