Question,Consensus Answer,GPT4
Opening,5,5
Elicits Spectrum of Concerns,5,5
Negotiates Priorities and Sets Agenda,5,3
Eliciting the Narrative Thread or the 'Patient's Story',2,5
Timeline,3,5
Organization,3,5
Pacing of Interview,5,5
Types of Questions,4,5
Summarizing,5,5
Duplication,4,5
Lack of Jargon,3,5
Verification of Patient Information,5,5
Verbal Facilitation Skills,5,5
Non-Verbal Facilitation Skills,5,N/A
Empathy and Acknowledging Patient Cues,4,5
Impact of Illness on Patient and Patients Self-Image,1,3
Support Systems,2,1
Encouragement of Questions,4,4
Closure,5,1
